uid,sentence1,sentence2,label
uit_Adver_1159_4_21_06,Nhưng điều này không có nghĩa thị trường bất động sản Hong Kong sẽ bị lao dốc vì nguồn cung trên thị trường đang được hấp thụ mạnh.,Nguồn cung trên thị trường có thể khiến thị trường bất động sản ở Hong Kong lao dốc mạnh.,Intrinsic-Hal
uit_Adver_886_1_21_05,"Sau 4 lần thất bại, hôm 5/5 nguyên mẫu Starship mới nhất của SpaceX thực hiện chuyến bay thử lên độ cao lớn suôn sẻ mọi bước từ cất cánh tới hạ cánh.","Sau 4 lần thất bại từ 1/5 đến 4/5, cuối cùng vào 5/5 SpaceX cũng đã thử nghiệm thành công chuyến bay lên độ cao lớn.",Extrinsic-Hal
uit_Adver_2080_3_21_11,Ba nạn nhân đang trong thời gian nghỉ hè.,Có cơ hội đi học là điều mà ba nạn nhân ao ước lớn nhất trước khi mất.,Extrinsic-Hal
uit_Adver_1266_3_21_07,"Theo điều tra, nhóm Hưng rủ rê các cô gái trẻ từ Bình Thuận, Bà Rịa - Vũng Tàu, miền Tây về làm nhân viên quán mình.",Nhóm Hưng hướng đến đối tượng quý cô trung niên.,Intrinsic-Hal
uit_Adver_700_2_21_04,"Sáng 4/5, hãng thời trang xa xỉ Pháp tung loạt ảnh mới Song Hye Kyo.",Các nhãn hàng thời trang Pháp đều từ chối minh tinh Hàn Quốc.,Intrinsic-Hal
uit_Adver_464_2_11_03,"Nhiều người có điểm thi TOEIC lên đến 600, 700 nhưng lại không có khả năng giao tiếp tiếng Anh và ứng dụng những gì đã học vào công việc.",Có những người không thể sử dụng tiếng Anh thành thục nhưng lại có điểm thi Bài kiểm tra tiếng Anh giao tiếp quốc tế rất cao.,Entailment
uit_Adver_614_1_21_04,"Nhà sản xuất K-ICM ra MV ""Cô độc"" theo phong cách tối giản với kinh phí 5 triệu đồng nhờ bạn bè hỗ trợ.","MV ""Cô độc"" được đầu tư khủng về mặt chi phí.",Intrinsic-Hal
uit_Adver_720_1_11_04,"Victoria Beckham nói đùa ""thà chết còn hơn"" khi được Justin Bieber gửi tặng một đôi dép Crocs.",Victoria Beckham thích Justin Bieber.,Entailment
uit_Adver_501_2_11_03,Quyết định kỷ luật ông Hùng được Ban Thường vụ Tỉnh ủy Đồng Nai công bố chiều 16/4.,Ông Hùng đã lãnh chịu sự trừng phạt và nhận hậu quả. ,Entailment
uit_Adver_1893_1_11_10,Golfer Mỹ Jordan Spieth mới đây tiết lộ việc nhiễm nCoV và phải cách ly ba tuần tại nhà riêng ở Dallas.,Quy định tại Dallas là người nhiễm nCoV phải cách ly đúng 21 ngày tại đây.,Extrinsic-Hal
uit_Adver_1208_4_31_07,"Nhà chức trách cũng đang điều tra 15 người khác liên quan các đường dây chiếm đoạt, mua bán dữ liệu quy mô lớn tại nhiều tỉnh thành trên toàn quốc.",Đường dây quy mô lớn tầm cỡ toàn quốc của hơn 15 người liên quan đến đường dây đang được nhà chức trách điều tra.,Entailment
uit_Adver_794_4_11_04,"Tối 23/4, trên trang cá nhân, Hàn Diệp cho biết bất ngờ khi bị cuốn vào chuyện gia đình Phùng Thiệu Phong.",Hàn Diệp sốc vì liên quan chuyện gia đình người khác.,Entailment
uit_Adver_1261_1_21_07,TAND Tối cao yêu cầu không tổ chức phiên tòa tập trung hơn 20 người trong một phòng; tòa tại các địa phương đang cách ly xã hội phải tạm dừng xét xử.,Tại các địa phương đang thực hiện cách li giãn cách xã hội thì các phiên toàn vẫn diễn ra bình thường và có nhiều người đến xem.,Intrinsic-Hal
uit_Adver_1272_2_21_07,"Ngày 10/5, Công an Phú Yên đã khởi tố vụ án Vi phạm quy định về quản lý, sử dụng tài sản nhà nước gây thất thoát lãng phí theo Điều 219 BLHS.",Bộ luật Hình sự không có điều luật về các vi phạm liên quan đến ngân sách Nhà nước.,Intrinsic-Hal
uit_Adver_832_5_21_05,"""Tôm hùm pha lê"" mắc hội chứng sắc tố leucism khiến con vật trông nhợt nhạt hơn so với đồng loại.","Hội chứng sắc tố Ieucism làm cho con tôm hùm trở nên lấp lánh như pha lê, màu đậm hơn so với cùng loại.",Intrinsic-Hal
uit_Adver_2259_4_11_12,"Kia chưa công bố chi tiết về thông số động cơ, trong khi bản hiện hành lựa chọn với ba động cơ xăng.","Hiện tại, khách hàng có thể lựa chọn động cơ xăng phù hợp theo nhu cầu trong ba loại mà Kia cung cấp.",Entailment
uit_Adver_104_3_11_01,Hiện Musk lại nhận lời tham gia Ban giám đốc của Endeavour để chuẩn bị cho quá trình phát hành cổ phiếu lần đầu của công ty cuối năm nay.,Thời điểm Musk trở thành thành viên của Endeavour không phải vào tháng 12.,Entailment
uit_Adver_98_2_11_01,"Theo Digitimes, Xiaomi và Oppo có thể tham gia một liên minh sản xuất chip xử lý 5G cùng một công ty Trung Quốc khác tên Unisoc (trước đây là Spreadtrum).","Công ty Spreadtrum được điều hành bởi 3 ông lớn trong ngành công nghệ là Digitimes, Xiaomi và Oppo.",Intrinsic-Hal
uit_Adver_984_1_21_05,"Nhóm chuyên gia phát hiện rắn biển mũi ngắn, loài rắn được cho là tuyệt chủng nhiều năm, trong lúc nghiên cứu rạn san hô Ashmore ở bang Western Australia.",Rắn biển mũi ngắn được phát hiện ở phía đông nước Úc.,Intrinsic-Hal
uit_Adver_87_4_31_01,"Theo BGR, với tỷ lệ từ chối App Tracking Transparency cao, các công ty cung cấp ứng dụng dựa trên quảng cáo có thể gặp khó khăn do không thể đề xuất quảng cáo được cá nhân hóa dựa trên thói quen người dùng thông qua IDFA.","Thông qua IDFA, các công ty cung cấp ứng dụng dựa trên quảng cáo có thể biết được thói quen và thu thập được các thông tin riêng tư khác của người dùng, từ đó đề xuất cho họ các quảng cáo được cá nhân hóa.",Extrinsic-Hal
uit_Adver_1091_2_21_06,"Gần đây, nhiều công ty chứng khoán có dấu hiệu ""lách"" huy động tiền từ khách hàng dưới hình thức hợp tác đầu tư hoặc hợp tác kinh doanh.","Tiền huy động từ khách hàng không được nhiều công ty ""lách"" dưới hình thức hợp tác đầu tư.",Intrinsic-Hal
uit_Adver_1146_4_21_06,"VN-Index chốt phiên tại 1.229,55 điểm, tăng gần 10 điểm so với tham chiếu.","Chỉ cần thêm hơn 1 điểm nữa, VN - Index sẽ chạm mức 1230 điểm.",Intrinsic-Hal
uit_Adver_164_1_21_01,"CEO Facebook cho biết video nướng thịt vào năm 2016 là khoảnh khắc ""gây bão"" về chính mình mà ông yêu thích nhất.",CEO Facebook đều kín tiếng trong đời tư.,Intrinsic-Hal
uit_Adver_370_3_11_02,"Emilia Hemsley, một khách du lịch, quay video cuộc đụng độ giữa hai con cá sấu vào cuối tháng 3.",Emilia Hemsley đã quay video về hai con cá sấu vào cuối quý 1.,Entailment
uit_Adver_1680_1_31_09,"Thanh niên hàng xóm đứng trên bệ điều hòa, dùng tay đỡ bé gái kẹt đầu dưới cửa sắt tầng 6 tòa chung cư tỉnh Hồ Bắc.",Tòa chung cư nơi bé gái kẹt đầu dưới cửa sắt ở tỉnh Hồ Bắc có tất cả 30 tầng.,Extrinsic-Hal
uit_Adver_2285_2_31_12,Không rõ va chạm ra sao nhưng chiếc xe ba bánh chở người đàn ông và một bé gái mắc vào đuôi xe ben và bị lôi theo.,Vụ việc xe ba bánh bị mắc vào đuôi xe ben lôi theo gây chấn động báo chí.,Extrinsic-Hal
uit_Adver_1019_3_11_06,"VNPT cho biết bình quân mỗi lãnh đạo quản lý, gồm thành viên HĐQT, tổng giám đốc, phó tổng giám đốc, kế toán trưởng, kiểm soát viên có thu nhập bình quân 117,6 triệu đồng một tháng, tăng 16,6% so với kế hoạch.",Các lãnh đạo quản lý có thù lao bình quân hơn 100 triệu đồng mỗi tháng.,Entailment
uit_Adver_2526_2_31_13,"Sau hơn 10 ngày phát động, chiến dịch ""Triệu ly sữa yêu thương, triệu nụ cười hạnh phúc"" do Vinamilk và Quỹ sữa Vươn cao Việt Nam tổ chức đã nhận sự hưởng ứng nhiệt tình của cộng đồng mạng vì ý nghĩa tích cực ""kép"" mà chương trình mang lại cho chính người tham gia lẫn các em nhỏ kém may mắn trên cả nước.",Chiến dịch được tổ chức chủ yếu quyên góp trên nền tảng Internet đã nhận được phản hồi tích cực từ người tham gia lẫn niềm vui của các em nhỏ.,Extrinsic-Hal
uit_Adver_335_1_11_02,"Đến quán cà phê từng là nơi hoạt động của Biệt động Sài Gòn, thực khách có thể thử bánh quẩy chấm cà phê và cơm tấm kim chi.",Thành phần chính của bánh quẩy chính là làm từ bột mỳ nguyên chất.,Entailment
uit_Adver_1105_2_11_06,Thị trường chứng khoán duy trì trạng thái hưng phấn trước đợt nghỉ lễ.,Trước đợt nghỉ lễ thị trường chứng khoán rất sôi động.,Entailment
uit_Adver_1124_2_11_06,"Amazon vừa công bố doanh thu 3 tháng đầu năm đạt 108,5 tỷ USD, tăng 44% so với cùng kỳ 2020.","Doanh thu quý I của Amazon đạt trên 108 tỷ USD, tăng gần một nửa so với quý I năm 2020.",Entailment
uit_Adver_2422_3_31_13,"Để mang lại sự riêng tư và tách biệt, công trình được bao quanh bởi những bức tường đá có nguồn gốc địa phương.",Công trình có bức tường đá có nguồn gốc địa phương do chủ quyên góp.,Extrinsic-Hal
uit_Adver_1916_3_31_10,Man Utd bị Aston Villa dẫn 1-0 từ hiệp một.,Aston tuy có phong độ tốt trên sân nhưng đã không thể ghi bàn.,Intrinsic-Hal
uit_Adver_132_2_31_01,"Trong thông báo hôm 29/3, Apple cho biết sẽ mở rộng chương trình Nhà sửa chữa độc lập (Independent Repair Provider - IRP) ra toàn cầu.",Trong tháng 3 chương trình Nhà sửa chữa độc lập sẽ mở rộng ra toàn cầu.,Extrinsic-Hal
uit_Adver_1272_5_11_07,"Tháng 4/2017, Hội đồng đấu giá quyền sử dụng đất tỉnh Phú Yên thông báo đấu giá 4 phân khu của khô đô thị này theo hình thức bán sỉ từng khu.","Khu đô thị không thuộc quyền sở hữu của quá nhiều người, tổ chức.",Entailment
uit_Adver_2080_1_11_11,"Một bé gái, hai bé trai 6-7 tuổi là họ hàng ở huyện Hoài Ân, trong lúc chơi đùa bị trượt chân xuống con suối cạnh nhà, tử vong.","Tuổi thọ con người không phải lúc nào cũng dài, và nó không phải lúc nào cũng báo trước.",Entailment
uit_Adver_1365_4_11_07,"Chốt được thời gian, địa điểm, Đông đến thuê phòng trước, đặt camera quay lén.",Đông đã lên kế hoạch cho cuộc hẹn.,Entailment
uit_Adver_2440_4_11_13,"Quyết định này phù hợp với quy định ""hạ nhiệt ly hôn"" - được chính phủ Trung Quốc đưa ra từ đầu năm nay để ngăn chặn ""ly hôn bốc đồng"".",Rất nhiều cuộc ly hôn diễn ra khi vợ hoặc chồng trong tình trạng mất bình tĩnh trên đất nước tỷ dân.,Entailment
uit_Adver_1351_5_11_07,Ông Phú cố thủ trong nhà.,Ông Phú không chịu ra khỏi nhà.,Entailment
uit_Adver_1444_4_31_08,"Do biến chủng Ấn Độ lây nhanh, ngành y tế đã thay đổi phương thức ""chạy theo"" xét nghiệm sang ""tấn công"" bằng cách chủ động xét nghiệm sàng lọc.","Ngành y tế Ấn Độ đã thay đổi phương thức ""chạy theo"" xét nghiệm sang ""tấn công"" bằng cách chủ động xét nghiệm sàng lọc.",Extrinsic-Hal
uit_Adver_49_4_21_01,"Trong quá khứ, Elon Musk thường né tránh các câu hỏi về Bitcoin cũng như số lượng mà ông nắm giữ.",Elon Musk thường tiếp nhận những câu hỏi về số lượng tiền ảo mà ông đang có.,Intrinsic-Hal
uit_Adver_1634_2_11_09,"""Tôi biết Joe Biden khá lâu rồi, và ông ấy có năng lượng của Donald Trump hay không thì chúng ta đều biết"", lãnh đạo phe Cộng hòa tại Hạ viện Kevin McCarthy trả lời phỏng vấn hôm 14/5.","Trong thời gian quen biết với Joe Biden, Kevin McCarthy hiểu được năng lực của Biden và Trump như thế nào.",Entailment
uit_Adver_110_5_31_01,Tim Cook gia nhập Apple năm 1997 và bắt đầu tiếp quản vị trí CEO do Steve Jobs để lại năm 2011.,Steve Jobs muốn nhường lại vị trí CEO cho Tim Cook nên đã đệ đơn xin nghỉ việc.,Extrinsic-Hal
uit_Adver_2022_3_11_11,"Theo cơ quan chức năng, trích xuất camera ghi nhận con trăn gấm không rõ từ đâu bò lên cây bàng trong sân trường Trường THPT Nguyễn Trãi lúc 3h cùng ngày.",Cơ quan chức năng chưa biết con trăn gấm chui từ chỗ nào ra.,Entailment
uit_Adver_1083_2_11_06,"Tổng công ty Idico cho biết, doanh thu thuần quý đầu năm giảm nhẹ so với cùng kỳ, đạt trên 1.045 tỷ đồng.",Tổng công ty Idico gồm công ty mẹ và các công ty con.,Extrinsic-Hal
uit_Adver_2347_1_11_12,"Ngọn lửa xuất hiện khi siêu xe McLaren 765LT đang tiếp nhiên liệu tại trạm xăng ở Upper Gwynedd Township, bang Pennsylvania, hôm 25/4.","Trước 5 ngày của cuối tháng 4, trạm xăng ở Upper Gwynedd Township, bang Pennsylvania có thể bị cháy",Entailment
uit_Adver_1466_2_11_08,"Ban chỉ đạo phòng chống Covid-19 Đà Nẵng chiều 24/5 cho biết ""bệnh nhân 5280"" là F1, sống cùng nhà với vợ chồng anh trai là ""bệnh nhân 3459"" và ""bệnh nhân 3224"".",F1 không phải là người bình thường.,Entailment
uit_Adver_2548_2_31_13,"Căn nhà một tầng nằm trên khu đất 7,5 m x 30 m ở thị xã Hòa Thành là món quà một nữ nhiếp ảnh gia dành tặng bố mẹ và các anh chị em.",Bố mẹ nữ nhiếp ảnh gia đang ở thị xã Hòa Thành.,Extrinsic-Hal
uit_Adver_705_4_31_04,"Bảo Ngọc sinh năm 1996, là cháu gái của NSƯT Bảo Quốc, em gái diễn viên hài Gia Bảo.","Em danh hài Gia Bảo là cháu gái NSƯT Bảo Quốc, cô gái này vừa kết hôn được 2 tháng.",Extrinsic-Hal
uit_Adver_547_1_21_03,"Học sinh 149 trường chuyên, năng khiếu, có điểm thi THPT quốc gia cao nhiều năm được ưu tiên xét tuyển vào các trường thành viên Đại học Quốc gia TP HCM.",Đại học quốc gia TP HCM là trường THPT quốc gia được nhiều thí sinh nộp xét tuyển.,Intrinsic-Hal
uit_Adver_277_1_31_02,"Vận động viên tham gia Vietnam Trail Marathon (VTM) ở các cự ly 5 - 70 km đường mòn băng qua các vườn đào, mận và đồi chè.","Vận động viên tham gia Vietnam Trail Marathon để tham quan các vườn đào, mận và đồi chè.",Intrinsic-Hal
uit_Adver_658_5_31_04,"Nguyễn Minh Tú sinh năm 1991 tại TP HCM, từng giành giải bạc Siêu mẫu Việt Nam 2013.",Nguyễn Minh Tú giành giải bạc Siêu mẫu Việt Nam khi vừa tròn 22 tuổi.,Extrinsic-Hal
uit_Adver_583_4_21_03,"Riêng huyện Cẩm Giàng, Kim Thành, thị xã Kinh Môn, TP Chí Linh, TP Hải Dương học sinh hai khối lớp 9 và 12 đến trường trở lại từ ngày 18/3.","Huyện Cẩm Giàng, TP Hải Dương cho toàn bộ học sinh cấp 2, cấp 3 đi học trở lại.",Intrinsic-Hal
uit_Adver_1888_1_31_10,Adam Wisniewski dính chấn thương khi đá vào chân trụ của Vadim Shablevskyi trong trận đấu chính sự kiện Krwawy Sport hôm 9/5.,Adam Wisniewski sau khi gặp trọng thương do đá vào chân trụ Vadim Shablevskyi đã nhập viện.,Extrinsic-Hal
uit_Adver_1427_4_21_08,"Chuỗi lây nhiễm tại quán bán bánh canh O Thanh đến nay ghi nhận 5 bệnh nhân, gồm người mẹ và hai con sống chung nhà (""bệnh nhân 4780"", 4781, 4782, ghi nhận ngày 20/5), hai F1 sống riêng chỉ tới thăm là cháu ngoại (""bệnh nhân 5329"", phát hiện ngày 24/5) và con gái (""bệnh nhân 5463"", ngày 25/5).",Hai bệnh nhân sống tại quán bán bánh canh O Thanh.,Intrinsic-Hal
uit_Adver_712_1_11_04,"Diễn viên The Rock hát tặng cô bé bốn tuổi Indy Llew Jones, đang chiến đấu với hội chứng Down và bệnh ung thư.",Indy Llew Jones là bệnh nhân mắc bệnh hiểm nghèo.,Entailment
uit_Adver_2526_1_11_13,"Hàng ngàn ly sữa đã được cộng đồng chung tay cùng Vinamilk và Quỹ sữa Vươn cao Việt Nam góp tặng các em nhỏ khó khăn qua chiến dịch “Triệu ly sữa yêu thương, triệu nụ cười hạnh phúc”.",Vinamilk và Quỹ sữa Vươn cao Việt Nam thực hiện chương trình thiện nguyện hỗ trợ các em có hoàn cảnh khó khăn.,Entailment
uit_Adver_1272_4_11_07,"Năm 2016, UBND tỉnh Phú Yên giao Ban quản lý Khu kinh tế Phú Yên làm chủ đầu tư dự án hạ tầng kỹ thuật giai đoạn một Khu đô thị mới Nam TP Tuy Hòa.",Phú Yên sẽ có đổi mới trong cấu trúc hạ tầng dô thị.,Entailment
uit_Adver_1603_1_11_09,"Melinda thuê luật sư tín thác bất động sản trong vụ ly hôn, động thái cho thấy bà có thể điều chỉnh khoản thừa kế của các con.",Trong tương lai khoản thừa kế của các con của Melinda có thể sẽ thay đổi.,Entailment
uit_Adver_1864_2_21_10,"""Tôi đã chơi với những cầu thủ hàng đầu như Lionel Messi hay Kylian Mbappe, nhưng chưa bao giờ được thi đấu bên cạnh Cristiano Ronaldo.",Tôi đã có vinh hạnh được đồng hành cùng nhiều cầu thủ hàng đầu Lionel Messi hay Kylian Mbappe và cả Cristiano Ronaldo.,Intrinsic-Hal
uit_Adver_547_1_11_03,"Học sinh 149 trường chuyên, năng khiếu, có điểm thi THPT quốc gia cao nhiều năm được ưu tiên xét tuyển vào các trường thành viên Đại học Quốc gia TP HCM.",Đại học Quốc gia TP HCM là 1 khối liên minh có ít nhất 2 trường đại học trở lên.,Entailment
uit_Adver_55_2_31_01,"Trong số 50 hồ sơ vào vòng Bình chọn, chỉ có hai ứng viên nữ là Trần Thị Hồng Vân và Võ Hồng Phương.",Hai ứng viên  được vào vòng Bình chọn có thể là nữ,Entailment
uit_Adver_2143_3_11_11,"Xe lu do anh Trần Trung Thành, 38 tuổi, lái chạy lùi.",Do đang chạy lùi dẫn đến nhiều điểm mù.,Extrinsic-Hal
uit_Adver_1663_2_11_09,Người đàn ông 36 tuổi bị bắt hôm 12/5 là nghi phạm chính trong vụ sát hại người phụ nữ Việt Nam 45 tuổi.,"Anh ta, chưa đến giữa tháng 5, đã bị bắt giữ.",Entailment
uit_Adver_2044_1_21_11,Chính quyền xã Quang Châu (Việt Yên) đưa hơn 1.300 công nhân Công ty Hosiden từ nhà trọ đến khu cách ly tập trung lúc 2h sáng 26/5.,Chính quyền xã Quang Châu không có động thái phòng chống dịch.,Intrinsic-Hal
uit_Adver_658_5_11_04,"Nguyễn Minh Tú sinh năm 1991 tại TP HCM, từng giành giải bạc Siêu mẫu Việt Nam 2013.",Nguyễn Minh Tú là một siêu mẫu được công nhận thực lực.,Entailment
uit_Adver_2147_1_31_11,"Rãnh áp thấp ở phía Nam hoạt động mạnh dần, xu hướng nâng trục lên phía Bắc từ ngày 19/5 khiến TP HCM và một số tỉnh Nam Bộ mưa to, gây ngập.",Tỉnh phía Nam sẽ có mưa rất to luôn á.,Extrinsic-Hal
uit_Adver_2502_3_31_13,Đang làm công nhân ở Bình Dương và chưa từng đi máy bay bao giờ nhưng anh Hải quyết định nhờ một người bạn chở ra sân bay Tân Sơn Nhất (TP HCM) mua vé về quê.,Bình Dương không có sân bay.,Extrinsic-Hal
uit_Adver_699_4_21_04,"Billie Eilish vừa có màn ""lột xác"" phong cách trong bộ ảnh chụp cho Vogue Anh số tháng 6.","Vào quý 3 này, Billie Eilish sẽ lần đầu tiên được đăng ảnh trên các tờ báo lớn.",Intrinsic-Hal
uit_Adver_2149_2_11_11,"Tuyến đường dài 21,5 km, 4 làn xe, điểm đầu từ nút giao Trạm 2 trên xa lộ Hà Nội (TP Thủ Đức) đi trùng quốc lộ 1 đến ngã tư An Sương (quận 12).","Làng đại học tọa lạc tại Thủ Đức gồm trường Đại học Bách Khoa, Đại học quốc tế, Đại học công nghệ thông tin,...",Extrinsic-Hal
uit_Adver_1845_3_31_10,Một loạt điểm winner của Shapovalov cùng những lỗi tự đánh hỏng của Nadal giúp tay vợt Canada dẫn 4-0 trong set đầu.,Nadal lên kế hoạch giúp tay vợt Canada dẫn 4-0 trong set đầu.,Extrinsic-Hal
uit_Adver_1045_3_21_06,"""Thật thú vị khi được gặp Jack"", một nhân viên từ chối nêu tên cho biết.",Một nhân viên rất ghét Jack nên từ chối nêu tên.,Intrinsic-Hal
uit_Adver_2321_1_21_12,Mẫu concept thiết kế dựa trên kết quả nghiên cứu người tiêu dùng mà Honda đã thực hiện trên nhiều quốc gia.,Nhiều quốc gia đã gửi những mẫu thiết kể cho Honda để tham dự cuộc thi.,Intrinsic-Hal
